dataset	approach	fold	prefix_length	metric	value
Helpdesk	Camargo	fold_0	7	Accuracy	0.6
Helpdesk	Camargo	fold_0	7	Recall	0.3333333333333333
Helpdesk	Camargo	fold_0	7	Precision	0.19999999999999998
Helpdesk	Camargo	fold_0	7	F1 - Score(macro)	0.24999999999999997
Helpdesk	Camargo	fold_0	7	F1 - Score(micro)	0.6
Helpdesk	Camargo	fold_1	2	Accuracy	0.5980777632153779
Helpdesk	Camargo	fold_1	2	Recall	0.14275286757038583
Helpdesk	Camargo	fold_1	2	Precision	0.08558924663957487
Helpdesk	Camargo	fold_1	2	F1 - Score(macro)	0.107015829587649
Helpdesk	Camargo	fold_1	2	F1 - Score(micro)	0.5980777632153779
Helpdesk	Camargo	fold_1	3	Accuracy	0.47778308647873863
Helpdesk	Camargo	fold_1	3	Recall	0.13236492673992672
Helpdesk	Camargo	fold_1	3	Precision	0.10987602343985323
Helpdesk	Camargo	fold_1	3	F1 - Score(macro)	0.1196137614204841
Helpdesk	Camargo	fold_1	3	F1 - Score(micro)	0.47778308647873863
Helpdesk	Camargo	fold_1	4	Accuracy	0.5985037406483791
Helpdesk	Camargo	fold_1	4	Recall	0.12448132780082988
Helpdesk	Camargo	fold_1	4	Precision	0.075
Helpdesk	Camargo	fold_1	4	F1 - Score(macro)	0.09360374414976598
Helpdesk	Camargo	fold_1	4	F1 - Score(micro)	0.5985037406483791
Helpdesk	Camargo	fold_1	5	Accuracy	0.5616438356164384
Helpdesk	Camargo	fold_1	5	Recall	0.16666666666666666
Helpdesk	Camargo	fold_1	5	Precision	0.0949074074074074
Helpdesk	Camargo	fold_1	5	F1 - Score(macro)	0.12094395280235988
Helpdesk	Camargo	fold_1	5	F1 - Score(micro)	0.5616438356164384
Helpdesk	Camargo	fold_1	6	Accuracy	0.3888888888888889
Helpdesk	Camargo	fold_1	6	Recall	0.2
Helpdesk	Camargo	fold_1	6	Precision	0.07777777777777778
Helpdesk	Camargo	fold_1	6	F1 - Score(macro)	0.11200000000000002
Helpdesk	Camargo	fold_1	6	F1 - Score(micro)	0.3888888888888889
Helpdesk	Khan	fold_0	2	Accuracy	0.05067715159458279
Helpdesk	Khan	fold_0	2	Recall	0.10976213650256988
Helpdesk	Khan	fold_0	2	Precision	0.02481070471112053
Helpdesk	Khan	fold_0	2	F1 - Score(macro)	0.014771675535952052
Helpdesk	Khan	fold_0	2	F1 - Score(micro)	0.050677151594582796
Helpdesk	Khan	fold_0	3	Accuracy	0.04755043227665706
Helpdesk	Khan	fold_0	3	Recall	0.10008417508417508
Helpdesk	Khan	fold_0	3	Precision	0.10472744814278823
Helpdesk	Khan	fold_0	3	F1 - Score(macro)	0.009196306229489654
Helpdesk	Khan	fold_0	3	F1 - Score(micro)	0.047550432276657055
Helpdesk	Khan	fold_0	4	Accuracy	0.05630026809651475
Helpdesk	Khan	fold_0	4	Recall	0.14285714285714285
Helpdesk	Khan	fold_0	4	Precision	0.008108108108108109
Helpdesk	Khan	fold_0	4	F1 - Score(macro)	0.015345268542199489
Helpdesk	Khan	fold_0	4	F1 - Score(micro)	0.05630026809651475
Helpdesk	Khan	fold_0	5	Accuracy	0.03389830508474576
Helpdesk	Khan	fold_0	5	Recall	0.2
Helpdesk	Khan	fold_0	5	Precision	0.006779661016949152
Helpdesk	Khan	fold_0	5	F1 - Score(macro)	0.013114754098360656
Helpdesk	Khan	fold_0	5	F1 - Score(micro)	0.03389830508474576
Helpdesk	Khan	fold_1	2	Accuracy	0.011795543905635648
Helpdesk	Khan	fold_1	2	Recall	0.1429614181438999
Helpdesk	Khan	fold_1	2	Precision	0.07305265787994253
Helpdesk	Khan	fold_1	2	F1 - Score(macro)	0.003419907363141132
Helpdesk	Khan	fold_1	2	F1 - Score(micro)	0.01179554390563565
Helpdesk	Khan	fold_1	3	Accuracy	0.47541766109785205
Helpdesk	Khan	fold_1	3	Recall	0.12106789409420989
Helpdesk	Khan	fold_1	3	Precision	0.1014178281068525
Helpdesk	Khan	fold_1	3	F1 - Score(macro)	0.11020586696858944
Helpdesk	Khan	fold_1	3	F1 - Score(micro)	0.47541766109785205
Helpdesk	Khan	fold_1	4	Accuracy	0.5739795918367347
Helpdesk	Khan	fold_1	4	Recall	0.16666666666666666
Helpdesk	Khan	fold_1	4	Precision	0.09566326530612246
Helpdesk	Khan	fold_1	4	F1 - Score(macro)	0.12155591572123177
Helpdesk	Khan	fold_1	4	F1 - Score(micro)	0.5739795918367347
Helpdesk	Khan	fold_1	5	Accuracy	0.5972222222222222
Helpdesk	Khan	fold_1	5	Recall	0.15925925925925927
Helpdesk	Khan	fold_1	5	Precision	0.10238095238095239
Helpdesk	Khan	fold_1	5	F1 - Score(macro)	0.1246376811594203
Helpdesk	Khan	fold_1	5	F1 - Score(micro)	0.5972222222222222
Helpdesk	Khan	fold_1	6	Accuracy	0.5555555555555556
Helpdesk	Khan	fold_1	6	Recall	0.25
Helpdesk	Khan	fold_1	6	Precision	0.16666666666666666
Helpdesk	Khan	fold_1	6	F1 - Score(macro)	0.2
Helpdesk	Khan	fold_1	6	F1 - Score(micro)	0.5555555555555556
Helpdesk	Khan	fold_1	7	Accuracy	0.16666666666666666
Helpdesk	Khan	fold_1	7	Recall	0.06666666666666667
Helpdesk	Khan	fold_1	7	Precision	0.1
Helpdesk	Khan	fold_1	7	F1 - Score(macro)	0.08
Helpdesk	Khan	fold_1	7	F1 - Score(micro)	0.16666666666666666
Helpdesk	Khan	fold_1	8	Accuracy	0.5
Helpdesk	Khan	fold_1	8	Recall	0.3333333333333333
Helpdesk	Khan	fold_1	8	Precision	0.3333333333333333
Helpdesk	Khan	fold_1	8	F1 - Score(macro)	0.3333333333333333
Helpdesk	Khan	fold_1	8	F1 - Score(micro)	0.5
Helpdesk	Mauro	fold_0	2	Accuracy	0.007426823940585408
Helpdesk	Mauro	fold_0	2	Recall	0.1111111111111111
Helpdesk	Mauro	fold_0	2	Precision	0.0008252026600650453
Helpdesk	Mauro	fold_0	2	F1 - Score(macro)	0.00163823841187241
Helpdesk	Mauro	fold_0	2	F1 - Score(micro)	0.007426823940585408
Helpdesk	Mauro	fold_0	3	Accuracy	0.001440922190201729
Helpdesk	Mauro	fold_0	3	Recall	0.1111111111111111
Helpdesk	Mauro	fold_0	3	Precision	0.0001601024655779699
Helpdesk	Mauro	fold_0	3	F1 - Score(macro)	0.000319744204636291
Helpdesk	Mauro	fold_0	3	F1 - Score(micro)	0.001440922190201729
Helpdesk	Mauro	fold_0	4	Accuracy	0.0075
Helpdesk	Mauro	fold_0	4	Recall	0.125
Helpdesk	Mauro	fold_0	4	Precision	0.0009398496240601503
Helpdesk	Mauro	fold_0	4	F1 - Score(macro)	0.0018656716417910445
Helpdesk	Mauro	fold_0	4	F1 - Score(micro)	0.0075
Helpdesk	Mauro	fold_0	5	Accuracy	0.0
Helpdesk	Mauro	fold_0	5	Recall	0.0
Helpdesk	Mauro	fold_0	5	Precision	0.0
Helpdesk	Mauro	fold_0	5	F1 - Score(macro)	0.0
Helpdesk	Mauro	fold_0	5	F1 - Score(micro)	0.0
Helpdesk	Mauro	fold_0	6	Accuracy	0.0
Helpdesk	Mauro	fold_0	6	Recall	0.0
Helpdesk	Mauro	fold_0	6	Precision	0.0
Helpdesk	Mauro	fold_0	6	F1 - Score(macro)	0.0
Helpdesk	Mauro	fold_0	6	F1 - Score(micro)	0.0
Helpdesk	Mauro	fold_0	7	Accuracy	0.2
Helpdesk	Mauro	fold_0	7	Recall	0.3333333333333333
Helpdesk	Mauro	fold_0	7	Precision	0.06666666666666667
Helpdesk	Mauro	fold_0	7	F1 - Score(macro)	0.11111111111111112
Helpdesk	Mauro	fold_0	7	F1 - Score(micro)	0.20000000000000004
Helpdesk	Mauro	fold_1	2	Accuracy	0.0
Helpdesk	Mauro	fold_1	2	Recall	0.0
Helpdesk	Mauro	fold_1	2	Precision	0.0
Helpdesk	Mauro	fold_1	2	F1 - Score(macro)	0.0
Helpdesk	Mauro	fold_1	2	F1 - Score(micro)	0.0
Helpdesk	Mauro	fold_1	3	Accuracy	0.006211180124223602
Helpdesk	Mauro	fold_1	3	Recall	0.0012037037037037038
Helpdesk	Mauro	fold_1	3	Precision	0.06280193236714976
Helpdesk	Mauro	fold_1	3	F1 - Score(macro)	0.002362133187971291
Helpdesk	Mauro	fold_1	3	F1 - Score(micro)	0.006211180124223602
Helpdesk	Mauro	fold_1	4	Accuracy	0.0024937655860349127
Helpdesk	Mauro	fold_1	4	Recall	0.0005186721991701245
Helpdesk	Mauro	fold_1	4	Precision	0.125
Helpdesk	Mauro	fold_1	4	F1 - Score(macro)	0.0010330578512396695
Helpdesk	Mauro	fold_1	4	F1 - Score(micro)	0.0024937655860349127
Helpdesk	Mauro	fold_1	5	Accuracy	0.0
Helpdesk	Mauro	fold_1	5	Recall	0.0
Helpdesk	Mauro	fold_1	5	Precision	0.0
Helpdesk	Mauro	fold_1	5	F1 - Score(macro)	0.0
Helpdesk	Mauro	fold_1	5	F1 - Score(micro)	0.0
Helpdesk	Mauro	fold_1	6	Accuracy	0.0
Helpdesk	Mauro	fold_1	6	Recall	0.0
Helpdesk	Mauro	fold_1	6	Precision	0.0
Helpdesk	Mauro	fold_1	6	F1 - Score(macro)	0.0
Helpdesk	Mauro	fold_1	6	F1 - Score(micro)	0.0
Helpdesk	Pasquadibisceglie	fold_0	2	Accuracy	0.5744866754041066
Helpdesk	Pasquadibisceglie	fold_0	2	Recall	0.11292513187110689
Helpdesk	Pasquadibisceglie	fold_0	2	Precision	0.12896986651775924
Helpdesk	Pasquadibisceglie	fold_0	2	F1 - Score(macro)	0.08774530485468453
Helpdesk	Pasquadibisceglie	fold_0	2	F1 - Score(micro)	0.5744866754041066
Helpdesk	Pasquadibisceglie	fold_0	3	Accuracy	0.37367915465898177
Helpdesk	Pasquadibisceglie	fold_0	3	Recall	0.1141654743432145
Helpdesk	Pasquadibisceglie	fold_0	3	Precision	0.09607022605479143
Helpdesk	Pasquadibisceglie	fold_0	3	F1 - Score(macro)	0.09047546917542455
Helpdesk	Pasquadibisceglie	fold_0	3	F1 - Score(micro)	0.37367915465898177
Helpdesk	Pasquadibisceglie	fold_0	4	Accuracy	0.455
Helpdesk	Pasquadibisceglie	fold_0	4	Recall	0.12842966638278963
Helpdesk	Pasquadibisceglie	fold_0	4	Precision	0.11332248416608023
Helpdesk	Pasquadibisceglie	fold_0	4	F1 - Score(macro)	0.11681786232043229
Helpdesk	Pasquadibisceglie	fold_0	4	F1 - Score(micro)	0.455
Helpdesk	Pasquadibisceglie	fold_0	5	Accuracy	0.5263157894736842
Helpdesk	Pasquadibisceglie	fold_0	5	Recall	0.2106800166875261
Helpdesk	Pasquadibisceglie	fold_0	5	Precision	0.17180774748923958
Helpdesk	Pasquadibisceglie	fold_0	5	F1 - Score(macro)	0.18174390968508616
Helpdesk	Pasquadibisceglie	fold_0	5	F1 - Score(micro)	0.5263157894736842
Helpdesk	Pasquadibisceglie	fold_0	6	Accuracy	0.42857142857142855
Helpdesk	Pasquadibisceglie	fold_0	6	Recall	0.20384615384615384
Helpdesk	Pasquadibisceglie	fold_0	6	Precision	0.19444444444444442
Helpdesk	Pasquadibisceglie	fold_0	6	F1 - Score(macro)	0.19571428571428573
Helpdesk	Pasquadibisceglie	fold_0	6	F1 - Score(micro)	0.42857142857142855
Helpdesk	Pasquadibisceglie	fold_0	7	Accuracy	0.6
Helpdesk	Pasquadibisceglie	fold_0	7	Recall	0.3333333333333333
Helpdesk	Pasquadibisceglie	fold_0	7	Precision	0.25
Helpdesk	Pasquadibisceglie	fold_0	7	F1 - Score(macro)	0.2857142857142857
Helpdesk	Pasquadibisceglie	fold_0	7	F1 - Score(micro)	0.6
Helpdesk	Pasquadibisceglie	fold_1	2	Accuracy	0.5849716033202271
Helpdesk	Pasquadibisceglie	fold_1	2	Recall	0.1452865351762696
Helpdesk	Pasquadibisceglie	fold_1	2	Precision	0.09454403510158906
Helpdesk	Pasquadibisceglie	fold_1	2	F1 - Score(macro)	0.11331704383016317
Helpdesk	Pasquadibisceglie	fold_1	2	F1 - Score(micro)	0.5849716033202271
Helpdesk	Pasquadibisceglie	fold_1	3	Accuracy	0.4663162924032489
Helpdesk	Pasquadibisceglie	fold_1	3	Recall	0.13156192765567765
Helpdesk	Pasquadibisceglie	fold_1	3	Precision	0.17078626479308417
Helpdesk	Pasquadibisceglie	fold_1	3	F1 - Score(macro)	0.12002031664293
Helpdesk	Pasquadibisceglie	fold_1	3	F1 - Score(micro)	0.4663162924032489
Helpdesk	Pasquadibisceglie	fold_1	4	Accuracy	0.44139650872817954
Helpdesk	Pasquadibisceglie	fold_1	4	Recall	0.16459197786998617
Helpdesk	Pasquadibisceglie	fold_1	4	Precision	0.13083456544965952
Helpdesk	Pasquadibisceglie	fold_1	4	F1 - Score(macro)	0.13468089589717028
Helpdesk	Pasquadibisceglie	fold_1	4	F1 - Score(micro)	0.44139650872817954
Helpdesk	Pasquadibisceglie	fold_1	5	Accuracy	0.4520547945205479
Helpdesk	Pasquadibisceglie	fold_1	5	Recall	0.21084010840108397
Helpdesk	Pasquadibisceglie	fold_1	5	Precision	0.1734848484848485
Helpdesk	Pasquadibisceglie	fold_1	5	F1 - Score(macro)	0.18620188816267247
Helpdesk	Pasquadibisceglie	fold_1	5	F1 - Score(micro)	0.4520547945205479
Helpdesk	Pasquadibisceglie	fold_1	6	Accuracy	0.5555555555555556
Helpdesk	Pasquadibisceglie	fold_1	6	Recall	0.2857142857142857
Helpdesk	Pasquadibisceglie	fold_1	6	Precision	0.225
Helpdesk	Pasquadibisceglie	fold_1	6	F1 - Score(macro)	0.25098039215686274
Helpdesk	Pasquadibisceglie	fold_1	6	F1 - Score(micro)	0.5555555555555556
Helpdesk	Tax	fold_0	2	Accuracy	0.0
Helpdesk	Tax	fold_0	2	Recall	0.0
Helpdesk	Tax	fold_0	2	Precision	0.0
Helpdesk	Tax	fold_0	2	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	2	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	3	Accuracy	0.0
Helpdesk	Tax	fold_0	3	Recall	0.0
Helpdesk	Tax	fold_0	3	Precision	0.0
Helpdesk	Tax	fold_0	3	F1 - Score(macro)	0.0
Helpdesk	Tax	fold_0	3	F1 - Score(micro)	0.0
Helpdesk	Tax	fold_0	4	Accuracy	0.0025
Helpdesk	Tax	fold_0	4	Recall	0.1
Helpdesk	Tax	fold_0	4	Precision	0.0006622516556291391
Helpdesk	Tax	fold_0	4	F1 - Score(macro)	0.0013157894736842105
Helpdesk	Tax	fold_0	4	F1 - Score(micro)	0.0025
Helpdesk	Tax	fold_0	5	Accuracy	0.013157894736842105
Helpdesk	Tax	fold_0	5	Recall	0.125
Helpdesk	Tax	fold_0	5	Precision	0.0035714285714285713
Helpdesk	Tax	fold_0	5	F1 - Score(macro)	0.006944444444444445
Helpdesk	Tax	fold_0	5	F1 - Score(micro)	0.013157894736842105
